EventId,Index,EventTemplate
E1,0,[*]Adding an already existing block[*]
E10,1,[*]PacketResponder[*]Exception[*]
E11,2,[*]PacketResponder[*]for block[*]terminating[*]
E12,3,[*]:Exception writing block[*]to mirror[*]
E13,4,[*]Receiving empty packet for block[*]
E14,5,[*]Exception in receiveBlock for block[*]
E15,6,[*]Changing block file offset of block[*]from[*]to[*]meta file offset to[*]
E16,7,[*]:Transmitted block[*]to[*]
E17,8,[*]:Failed to transfer[*]to[*]got[*]
E18,9,[*]Starting thread to transfer block[*]to[*]
E19,10,[*]Reopen Block[*]
E2,11,[*]Verification succeeded for[*]
E20,12,[*]Unexpected error trying to delete block[*]BlockInfo not found in volumeMap[*]
E21,13,[*]Deleting block[*]file[*]
E22,14,[*]BLOCK* NameSystem[*]allocateBlock:[*]
E23,15,[*]BLOCK* NameSystem[*]delete:[*]is added to invalidSet of[*]
E24,16,[*]BLOCK* Removing block[*]from neededReplications as it does not belong to any file[*]
E25,17,[*]BLOCK* ask[*]to replicate[*]to[*]
E26,18,[*]BLOCK* NameSystem[*]addStoredBlock: blockMap updated:[*]is added to[*]size[*]
E27,19,[*]BLOCK* NameSystem[*]addStoredBlock: Redundant addStoredBlock request received for[*]on[*]size[*]
E28,20,[*]BLOCK* NameSystem[*]addStoredBlock: addStoredBlock request received for[*]on[*]size[*]But it does not belong to any file[*]
E29,21,[*]PendingReplicationMonitor timed out block[*]
E3,22,[*]Served block[*]to[*]
E4,23,[*]Got exception while serving[*]to[*]
E5,24,[*]Receiving block[*]src:[*]dest:[*]
E6,25,[*]Received block[*]src:[*]dest:[*]of size[*]
E7,26,[*]writeBlock[*]received exception[*]
E8,27,[*]PacketResponder[*]for block[*]Interrupted[*]
E9,28,[*]Received block[*]of size[*]from[*]
